Tmin,Tmax,T,RH,U,Rain
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
25,20,23,85,2,1.0
